Dialogue name,Node Guid ID,Text Guid ID,Russian,English
C2_Tim Spar,29ac1e42-8680-4dde-bfa3-b3f0e6e4a1b9,c06aee08-08f7-4f4d-b571-8c51b2d5177e,"Доброй ночи, тетя медиум! Мой <b>дедушка</b> умер, я хочу узнать, как он устроился... там.","Good evening, aunt Medium! My <b>grandfather</b> died, I want to know how he is doing... there."
C2_Tim Spar,43d1a048-65b9-4282-89d0-eb89be8807cc,5a93e724-b467-44fa-ab0f-fbdb5948c53d,Спасибо!.. Спасибо большое!!!,Thank you!.. Thank you very much!!!
C2_Tim Spar,46359059-d57a-4736-a187-d921f6807214,1ac331a5-0594-4f2c-bbfa-0de2aedfdb39,Я... это... я не хочу больше... пока!..,I... it's... I don't want anymore... bye for now!..
C2_Tim Spar,26818f90-2a7f-4ff8-a120-e4564d1bfcb9,1e087326-61c9-4e31-a690-4625a0cb8df9,Все… все хорошо? Что не так?,Everything... is everything okay? What's wrong?
C2_Tim Spar,f3736d88-3d95-4627-b550-938c6211a9c4,e4bfd18b-5ad5-4f42-bd83-1c8c4eb8f30a,"Все хорошо, василек","Everything is fine, cornflower"
C2_Tim Spar,f3736d88-3d95-4627-b550-938c6211a9c4,1aa33b5c-72f5-4c14-b6be-3b818d426b5e,Ghost,Ghost
C2_Tim Spar,2bdc4408-3df6-49bb-a810-b220e1d977dc,81e6e38f-5839-4ddc-a00c-0a3141e5ca26,Дедушка не хочет говорить?,Grandpa doesn't want to talk?
C2_Tim Spar,db7feba6-29bd-42a1-9e1d-e48c74e05232,Choice Dont have Text ID,"Хорошо, я вам помогу","Alright, I will help you."
C2_Tim Spar,ce233715-8543-41cf-9a34-ce7491221a7e,Choice Dont have Text ID,Нет. Вам я не могу помочь.,No. I can't help you.
C2_Tim Spar,dbf01e41-a03e-4bc9-b256-c2669a85855b,Choice Dont have Text ID,Передать ответ призрака,Convey the ghost's answer
C2_Tim Spar,82e091b2-a87b-49df-b8e1-5fdc97a17eb4,Choice Dont have Text ID,(продолжить работу),(continue working)
C2_Tim Spar,b0604c90-cb64-4ded-93b2-360b0e30932b,Choice Dont have Text ID,Я не смогу сделать это (отказаться от работы),I can’t do this (refuse the work)
C3_LarsVesh,dfbdd4a6-f0c3-4eab-97cf-d6faa227c9a4,1b922cec-a73e-447d-af20-e5a26c142e59,"Вчера мы с женой потеряли <b>дочь</b>. Я не смогу уснуть, если...",Yesterday my wife and I lost our <b>daughter</b>. I won’t be able to sleep if I don’t know...
C3_LarsVesh,dfbdd4a6-f0c3-4eab-97cf-d6faa227c9a4,cc4ca47d-e995-4ae8-8d48-0f14e7bb1be5,"Если не смогу убедиться, что она в порядке...",If I can't make sure that she's okay...
C3_LarsVesh,dfbdd4a6-f0c3-4eab-97cf-d6faa227c9a4,35804dcc-3274-42ed-a19b-1d7431ffb99a,Хотя бы теперь...,At least now...
C3_LarsVesh,dfbdd4a6-f0c3-4eab-97cf-d6faa227c9a4,6b5d1150-5322-430b-9b22-25f48206b2a6,"Моя жена против, но я не могу иначе...","My wife is against it, but I can't do otherwise..."
C3_LarsVesh,4a5ff0fb-3cf0-4ecd-9a5c-0652b8480f78,e06ac053-52ed-4c4e-b425-aa39b28ede0c,Она была такой светлой маленькой девочкой… никогда никого не обижала… как же так…,She was such a bright little girl... never hurt anyone... how could this happen...
C3_LarsVesh,51ef8acd-a853-4b0f-a413-7ad51e328041,28403139-9d50-43bd-9cb2-4233fbf3074f,Жена была права. Мне не стоило сюда приходить.,My wife was right. I shouldn't have come here.
C3_LarsVesh,7044de6f-57ef-4e7f-81af-fb651d90a534,9596277b-7a40-47db-92ca-51b451985c71,Обними за меня маму,Hug mom for me
C3_LarsVesh,7044de6f-57ef-4e7f-81af-fb651d90a534,fefc9d66-4fdc-4ff4-b6ab-f5e90404f722,Ghost,Ghost
C3_LarsVesh,dda5610e-b260-406d-a411-7de950d7d63f,a9be781f-44d5-4311-9d07-5c1fc9497502,Обязательно… Моя маленькая звездочка… Спасибо вам…,Of course... My little star... Thank you...
C3_LarsVesh,91cac1f1-f946-4e4e-bb12-7b91f5ce1ba9,66a0ce7b-fbb1-470e-8aac-bf6b953adf7e,Что происходит? Что не так?,What’s going on? What’s wrong?
C3_LarsVesh,5c3d61de-49b2-40ca-a11a-2a2cb3c74875,Choice Dont have Text ID,Нет. Вам я не могу помочь.,No. I can't help you.
C3_LarsVesh,8059b07f-64d1-45ab-bb6b-d9f52af3deeb,Choice Dont have Text ID,"Хорошо, я вам помогу","Alright, I will help you."
C3_LarsVesh,52521e1a-3e5d-46a5-94fe-797bcfc06bd0,Choice Dont have Text ID,Передать ответ призрака,Convey the ghost's answer
C3_LarsVesh,d5d354c2-5b0a-4482-a492-4f013d266015,Choice Dont have Text ID,(продолжить работу),(continue working)
C3_LarsVesh,459865e7-4091-439b-bbea-f87da1a07018,Choice Dont have Text ID,Я не смогу сделать это (отказаться от работы),I can’t do this (refuse the work)
D1C1_MollyMoon,0c423495-06df-4b0d-9e36-022b68b9bb1a,10b790fb-5043-4dfd-9996-5ff058f354df,"Если все верно - поставь ингредиенты на символы. Каждый символ означает что-то свое: расу, пол или возраст. Загляни в записную книгу, если сомневаешься!","If everything is correct, place the ingredients on the symbols. Each symbol means something different: race, gender, or age. Check the notebook if you're unsure!"
D1C1_MollyMoon,72803ef7-dd45-474c-ab2a-797ca6dc76ea,e44660fc-beb8-4f6d-abb3-721faac79216,"Если ошибся - не переживай, выбери ненужный ингредиент на столе, чтобы отправить его обратно на полку","If you made a mistake, don't worry, select the unnecessary ingredient on the table to send it back to the shelf."
D1C1_MollyMoon,0b127ccb-9357-4e9d-a2cc-6bc13906b4dd,6225c535-e3b1-417c-9293-f800c6a0ba74,"Привет, начинающий медиум! Я рада, что ты наконец получила свою волшебную повозку и можешь приступать к работе!","Hello, novice Medium! I'm glad that you finally got your magical carriage and can start working!"
D1C1_MollyMoon,0b127ccb-9357-4e9d-a2cc-6bc13906b4dd,d0d4ef45-c49c-430a-a60f-2a908ab6ebea,Я так рада за тебя! Путь к этой профессии нелегкий!,I'm so happy for you! The path to this profession is not easy!
D1C1_MollyMoon,bbc77d11-ade2-4e21-b4df-a9b420e71604,6c55e3f1-4d67-446d-800a-7a2c56654f68,Осмотрись. Слева от тебя ингредиенты. Справа от тебя записная книжка.,Look around. To your left are the ingredients. To your right is the notebook.
D1C1_MollyMoon,2c3f80b8-e9a6-414c-885e-8ebd8f2dec77,7f766f6f-49fc-4a62-aaf3-4c11a3bd951a,Запомни. К тебе будут приходить люди. С помощью ингредиентов ты будешь призывать призрака и говорить с ним.,"Remember. People will come to you. With the help of ingredients, you will summon a ghost and talk to it."
D1C1_MollyMoon,2c3f80b8-e9a6-414c-885e-8ebd8f2dec77,33b1c59c-a7b3-4059-8010-91096baf1a77,"Тебе надо выслушать историю клиента и узнать, с <b>каким призраком</b> тебе предстоит связаться.",You need to listen to the client's story and find out <b>which ghost</b> you will have to deal with.
D1C1_MollyMoon,2c3f80b8-e9a6-414c-885e-8ebd8f2dec77,3676e770-de12-403f-9aaa-6b34b63c0436,"Когда ты выслушаешь историю - на столе зажгутся знаки, на которые надо будет поставить ингредиенты! Готова начать?","When you listen to the story, symbols will light up on the table, and you will need to place the ingredients on them! Are you ready to start?"
D1C1_MollyMoon,7044de6f-57ef-4e7f-81af-fb651d90a534,9596277b-7a40-47db-92ca-51b451985c71,"Приветствую тебя, новый медиум","Greetings to you, new Medium"
D1C1_MollyMoon,7044de6f-57ef-4e7f-81af-fb651d90a534,fefc9d66-4fdc-4ff4-b6ab-f5e90404f722,Ghost,Ghost
D1C1_MollyMoon,51ef8acd-a853-4b0f-a413-7ad51e328041,28403139-9d50-43bd-9cb2-4233fbf3074f,"Эм... ну, ничего страшного! Не вышло и не вышло! Я дам тебе еще ингредиентов. Постарайся с настоящим клиентом не провалиться!","Um... well, it's no big deal! It didn't work out, and that's okay! I'll give you more ingredients. Try not to fail with a real customer!"
D1C1_MollyMoon,4a5ff0fb-3cf0-4ecd-9a5c-0652b8480f78,e06ac053-52ed-4c4e-b425-aa39b28ede0c,"Попробуй снова. На этот раз хорошо запомни, в каком порядке светятся ингредиенты. И, конечно же, коснись их в этом порядке!","Try again. This time, make sure to remember well the order in which the ingredients light up. And, of course, touch them in that order!"
D1C1_MollyMoon,91cac1f1-f946-4e4e-bb12-7b91f5ce1ba9,66a0ce7b-fbb1-470e-8aac-bf6b953adf7e,Попробуй еще раз!,Try again!
D1C1_MollyMoon,dda5610e-b260-406d-a411-7de950d7d63f,a9be781f-44d5-4311-9d07-5c1fc9497502,"Отлично! Молодец, молодец, молодец! Я так довольна тобой! И мой друг тобой явно доволен тоже!","Excellent! Well done, well done, well done! I am so pleased with you! And my friend is clearly pleased with you too!"
D1C1_MollyMoon,dda5610e-b260-406d-a411-7de950d7d63f,60fc6a09-df0e-40bc-8baf-ca91a6908e91,"Следующий клиент уже будет настоящим. Постарайся справиться. А я приду к тебе, чтобы узнать, как твои дела, попозже!",The next client will be a real one. Try to handle it. And I'll come to you later to see how you're doing!
D1C1_MollyMoon,394d0d09-f175-48be-909e-2345779c99b4,a593dfed-dd8c-400e-b3d7-3d6a0c09b2a2,Cледуй за огнями!,Follow the lights!
D1C1_MollyMoon,dfbdd4a6-f0c3-4eab-97cf-d6faa227c9a4,a047598d-034b-4a32-a551-d9fce1a04497,Итак. Мой друг был <b>мужчиной</b>. Он был <b>человеком</b>. Ему было <b>30</b> лет.,So. My friend was a <b>man</b>. He was a <b>human</b>. He was <b>30</b> years old.
D1C1_MollyMoon,dfbdd4a6-f0c3-4eab-97cf-d6faa227c9a4,eaab94ef-84f6-4d97-9b49-5dc9d4650f8f,Теперь твой стол должен настроиться на призрака.,Now your table should be set for the ghost.
D1C1_MollyMoon,72fa6ead-49bf-46aa-8616-1877a91afad4,647f66e0-740c-4c0b-add8-ccd7562aec27,"Посмотри в записную книжку, чтобы понять, какие ингредиенты тебе нужны и возьми их с полки.",Look in the notebook to understand which ingredients you need and take them from the shelf.
D1C1_MollyMoon,c75c7ff2-c162-478b-b6b5-afdcf295c909,7677e3d4-eaff-4b29-96e6-77a6bbcbcf21,А теперь - начинай ритуал.,And now - begin the ritual.
D1C1_MollyMoon,8059b07f-64d1-45ab-bb6b-d9f52af3deeb,Choice Dont have Text ID,Да,Yes
D1C1_MollyMoon,52521e1a-3e5d-46a5-94fe-797bcfc06bd0,Choice Dont have Text ID,Передать ответ призрака,Convey the ghost's answer
